holding,task,value,day,confidence_score,yellow
,Lift Legs,5,monday,10,health
,Lift Chest,5,wednesday,10,health
,Lift Arms,5,friday,10,health
,Yoga,5,tuesday,5,health
,Yoga,5,thursday,5,health
,Run Sunshine,5,monday,5,health
,Run Sunshine,5,wednesday,5,health
,Run Sunshine,5,friday,5,health
,Mediate,5,monday,5,health
,Mediate,5,tuesday,5,health
,Mediate,5,wednesday,5,health
,Mediate,5,thursday,5,health
,Mediate,5,friday,5,health
,Mediate,5,satuday,5,health
,Mediate,5,sunday ,5,health
,Wake up 5am,5,monday,8,health
,Wake up 5am,5,Tuesday,8,health
,Wake up 5am,5,wednesday,8,health
,Wake up 5am,5,thursday,8,health
,Wake up 5am,5,friday,8,health
,Wake up 5am,5,satuday,8,health
,Intermittent Fasting,8,monday,10,health
,Intermittent Fasting,8,Tuesday,10,health
,Intermittent Fasting,8,wednesday,10,health
,Intermittent Fasting,8,thursday,10,health
,Intermittent Fasting,8,friday,10,health
,Intermittent Fasting,8,satuday,10,health
,Lemon Water / BCAA / Creatine,3,monday,5,health
,Lemon Water / BCAA / Creatine,3,Tuesday,5,health
,Lemon Water / BCAA / Creatine,3,wednesday,5,health
,Lemon Water / BCAA / Creatine,3,thursday,5,health
,Lemon Water / BCAA / Creatine,3,friday,5,health
,Lemon Water / BCAA / Creatine,3,satuday,5,health
,Laundry,5,,3,personal
,Menu,3,,3,personal
,Groceries,3,,3,personal
,170 grams of protien,8,monday,10,health
,170 grams of protien,8,Tuesday,10,health
,170 grams of protien,8,wednesday,10,health
,170 grams of protien,8,thursday,10,health
,170 grams of protien,8,friday,10,health
,170 grams of protien,8,satuday,10,health
